"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"NLIC","2026-03-29","839.4","839.4","805","806.2","-2.10 %","70,360.00","-"
"NLIC","2026-03-26","821","825","815","823.5","-0.18 %","48,625.00","-"
"NLIC","2026-03-25","835","835","821","825","-0.96 %","65,754.00","-"
"NLIC","2026-03-24","840","845","826","833","-0.83 %","82,021.00","-"
"NLIC","2026-03-23","856","856","826.2","840","-0.01 %","88,802.00","-"
"NLIC","2026-03-22","844.5","848","828","840.1","1.46 %","181,028.00","-"
"NLIC","2026-03-19","802","829","800.2","828","3.24 %","176,072.00","-"
"NLIC","2026-03-17","801","809","795","802","-0.10 %","36,253.00","-"
"NLIC","2026-03-16","824.5","824.5","800","802.8","-0.69 %","43,478.00","-"
"NLIC","2026-03-15","805","820","805","808.4","-0.44 %","45,568.00","-"
"NLIC","2026-03-12","815","815","805","812","0.62 %","43,568.00","-"
"NLIC","2026-03-11","840.4","840.4","805","807","-2.06 %","54,439.00","-"
"NLIC","2026-03-10","829","829","797","824","1.37 %","158,831.00","-"
"NLIC","2026-03-09","796.6","828.7","796.6","812.9","4.08 %","2,136.00","-"
"NLIC","2026-03-03","790.5","790.5","770","781","0.77 %","27,741.00","-"
"NLIC","2026-03-01","760","777","756.7","775","0.38 %","39,001.00","-"
"NLIC","2026-02-26","783.3","783.3","765","772.1","0.53 %","15,777.00","-"
"NLIC","2026-02-25","760","775","755","768","1.45 %","38,077.00","-"
"NLIC","2026-02-24","743","759.9","743","757","0.53 %","16,770.00","-"
"NLIC","2026-02-23","756","756","741","753","0.57 %","25,230.00","-"
"NLIC","2026-02-22","750","753","740.4","748.7","-0.17 %","31,189.00","-"
"NLIC","2026-02-17","751","752.6","734.1","750","-0.13 %","64,765.00","-"
"NLIC","2026-02-16","769","769","749.5","751","-0.40 %","40,704.00","-"
"NLIC","2026-02-12","747.5","759","745","754","0.40 %","28,341.00","-"
"NLIC","2026-02-11","768.5","768.5","746","751","-0.33 %","34,641.00","-"
"NLIC","2026-02-10","762","764","742","753.5","-0.88 %","62,719.00","-"
"NLIC","2026-02-09","770","770","760.1","760.2","-0.67 %","25,221.00","-"
"NLIC","2026-02-08","775","775","765.2","765.3","-0.62 %","21,973.00","-"
"NLIC","2026-02-05","766.2","773","760","770.1","0.54 %","34,466.00","-"
"NLIC","2026-02-04","748","777","748","766","0.39 %","34,224.00","-"
