"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"NABIL","2026-01-26","501","504","496","497","-0.04 %","109,372.00","-"
"NABIL","2026-01-25","496.9","499","492","497.2","0.83 %","104,063.00","-"
"NABIL","2026-01-22","498","498","492.3","493.1","-0.60 %","63,230.00","-"
"NABIL","2026-01-21","502","504","493","496.1","-0.08 %","44,079.00","-"
"NABIL","2026-01-20","490.8","500","490.8","496.5","1.16 %","72,522.00","-"
"NABIL","2026-01-18","488","492","487.7","490.8","0.68 %","71,435.00","-"
"NABIL","2026-01-14","490","490","487","487.5","-0.12 %","44,542.00","-"
"NABIL","2026-01-13","496","496","485","488.1","0.23 %","60,812.00","-"
"NABIL","2026-01-12","490","495","487","487","-0.41 %","40,413.00","-"
"NABIL","2026-01-08","492","492","486.5","489","0.00 %","35,678.00","-"
"NABIL","2026-01-07","493","493.9","489","489","-0.10 %","38,590.00","-"
"NABIL","2026-01-06","490","492","489","489.5","0.00 %","47,593.00","-"
"NABIL","2026-01-05","492","492","488.1","489.5","-0.16 %","57,630.00","-"
"NABIL","2026-01-04","491.5","495","488.1","490.3","-0.35 %","44,294.00","-"
"NABIL","2026-01-01","495","496","490","492","-0.95 %","35,796.00","-"
"NABIL","2025-12-31","500","502","494.7","496.7","-1.93 %","65,111.00","-"
"NABIL","2025-12-29","508","508.9","500","506.5","0.62 %","78,664.00","-"
"NABIL","2025-12-28","499","504","496","503.4","0.96 %","61,455.00","-"
"NABIL","2025-12-24","498.5","500","496.1","498.6","0.28 %","40,096.00","-"
"NABIL","2025-12-23","499","502","496.5","497.2","0.02 %","33,607.00","-"
"NABIL","2025-12-22","500","500","492","497.1","0.02 %","36,711.00","-"
"NABIL","2025-12-21","500","504.4","493","497","-0.40 %","24,230.00","-"
"NABIL","2025-12-18","500","504","495.1","499","-0.18 %","39,506.00","-"
"NABIL","2025-12-17","503","505","497","499.9","0.18 %","44,903.00","-"
"NABIL","2025-12-16","494","500","494","499","1.01 %","30,522.00","-"
"NABIL","2025-12-15","492","495","489","494","0.41 %","36,245.00","-"
"NABIL","2025-12-14","500","500","490","492","-0.61 %","78,923.00","-"
"NABIL","2025-12-11","492.2","497.5","492","495","0.06 %","37,306.00","-"
"NABIL","2025-12-10","500","500","493","494.7","-0.26 %","29,665.00","-"
"NABIL","2025-12-09","500","500","491.1","496","0.20 %","55,413.00","-"
"NABIL","2025-12-08","503","503","495","495","-1.59 %","81,912.00","-"
"NABIL","2025-12-07","502","510","502","503","-1.41 %","88,964.00","-"
"NABIL","2025-12-03","515","515","510","510.2","-0.45 %","25,319.00","-"
"NABIL","2025-12-02","512","516.8","510","512.5","0.10 %","39,306.00","-"
"NABIL","2025-12-01","519.4","519.4","510.5","512","-0.23 %","21,944.00","-"
"NABIL","2025-11-30","518","522","513","513.2","-0.33 %","40,956.00","-"
"NABIL","2025-11-27","511","517","509","514.9","0.76 %","50,106.00","-"
"NABIL","2025-11-26","510","513","507","511","0.10 %","35,156.00","-"
"NABIL","2025-11-25","518","518","508.5","510.5","-0.49 %","29,221.00","-"
"NABIL","2025-11-24","508","513.9","507","513","0.69 %","22,139.00","-"
"NABIL","2025-11-23","505","510.5","505","509.5","0.69 %","48,408.00","-"
"NABIL","2025-11-20","508","508","503","506","-0.20 %","27,947.00","-"
"NABIL","2025-11-19","511","511","505","507","-0.02 %","18,121.00","-"
"NABIL","2025-11-18","508","510","505.6","507.1","-0.18 %","24,383.00","-"
"NABIL","2025-11-17","504","509.9","504","508","0.89 %","24,130.00","-"
"NABIL","2025-11-16","503","506.9","501","503.5","0.10 %","31,462.00","-"
"NABIL","2025-11-13","505.1","505.1","502","503","-0.20 %","32,775.00","-"
"NABIL","2025-11-12","508","508.9","504","504","-0.77 %","29,577.00","-"
"NABIL","2025-11-11","510","510","505.3","507.9","-0.22 %","21,898.00","-"
"NABIL","2025-11-10","509","510","506","509","0.10 %","49,391.00","-"
"NABIL","2025-11-09","510","514.9","507","508.5","0.24 %","39,600.00","-"
"NABIL","2025-11-06","515","517","506.7","507.3","-1.13 %","46,224.00","-"
"NABIL","2025-11-05","513","516.9","508","513.1","0.39 %","27,044.00","-"
"NABIL","2025-11-04","515","517.9","511.1","511.1","-0.39 %","27,560.00","-"
"NABIL","2025-11-03","515","517","510.1","513.1","0.39 %","32,079.00","-"
"NABIL","2025-11-02","516.1","516.1","508","511.1","1.01 %","33,330.00","-"
"NABIL","2025-10-30","503.1","512","503.1","506","-0.20 %","37,178.00","-"
"NABIL","2025-10-29","509","516.3","507","507","-0.39 %","51,578.00","-"
