"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"NTC","2026-03-29","905","907","890","891.9","-1.44 %","33,019.00","-"
"NTC","2026-03-26","877.1","917","877.1","904.9","1.11 %","40,620.00","-"
"NTC","2026-03-25","932","932","895","895","-2.08 %","16,089.00","-"
"NTC","2026-03-24","920","920","908","914","0.66 %","18,877.00","-"
"NTC","2026-03-23","920","928","900.1","908","-0.21 %","59,765.00","-"
"NTC","2026-03-22","895","909.9","895","909.9","2.35 %","67,464.00","-"
"NTC","2026-03-19","886","890","881","889","1.11 %","28,123.00","-"
"NTC","2026-03-17","879.4","886","870","879.2","0.25 %","8,196.00","-"
"NTC","2026-03-16","893.8","893.8","870","877","-1.23 %","16,799.00","-"
"NTC","2026-03-15","890","898","887","887.9","0.10 %","13,675.00","-"
"NTC","2026-03-12","890.5","895","876","887","-0.39 %","14,394.00","-"
"NTC","2026-03-11","908","908","890","890.5","-1.06 %","21,122.00","-"
"NTC","2026-03-10","897.6","942.5","880","900","2.27 %","96,225.00","-"
"NTC","2026-03-09","889.4","924","880","880","0.92 %","9,298.00","-"
"NTC","2026-03-03","893.5","893.5","862","872","-0.46 %","12,203.00","-"
"NTC","2026-03-01","855","876","850","876","2.46 %","18,793.00","-"
"NTC","2026-02-26","870","870","853","855","0.23 %","7,300.00","-"
"NTC","2026-02-25","854","854","850","853","0.00 %","4,753.00","-"
"NTC","2026-02-24","855","858.7","850","853","-0.23 %","7,123.00","-"
"NTC","2026-02-23","847","859","845","855","1.16 %","10,926.00","-"
"NTC","2026-02-22","845","850","845","845.2","0.02 %","10,506.00","-"
"NTC","2026-02-17","850","850","845","845","-0.35 %","14,321.00","-"
"NTC","2026-02-16","854","855","840","848","0.00 %","17,535.00","-"
"NTC","2026-02-12","855","855","845","848","0.06 %","16,335.00","-"
"NTC","2026-02-11","861.9","861.9","843.5","847.5","0.30 %","7,097.00","-"
"NTC","2026-02-10","845","848","840.1","845","0.12 %","15,995.00","-"
"NTC","2026-02-09","855","859.9","844","844","-0.71 %","19,259.00","-"
"NTC","2026-02-08","855","860","848","850","-0.35 %","17,064.00","-"
"NTC","2026-02-05","850","860","850","853","0.01 %","8,449.00","-"
"NTC","2026-02-04","834","865","834","852.9","0.24 %","10,761.00","-"
"NTC","2026-02-03","851","860","847","850.9","0.11 %","9,721.00","-"
"NTC","2026-02-02","850","860","850","850","-0.70 %","16,347.00","-"
